"newBatterySoc";"energyConsumption";"powerProduction";"selfUsedEnergy";"selfUsedEnergyPV";"selfUsedEnergyBattery";"feedInEnergyGrid";"gridUsedEnergy";"missedInverterPower";"missedBatteryPower";"missedFeedInPowerGrid";"lossesUnloadBattery";"lossesLoadBattery";"lossesPvGeneration";"losses";"dayTime"
"446.9500703245694";"553.9803296754301";"0";"548.4498303786762";"0.9303999999999997";"547.5194303786762";"0";"5.530499296753874";"0";"0";"0";"5.530499296754311";"0";"0.06960000000000033";"5.600099296754311";"20200101:00"
"58.24906881776042";"389.63140150680914";"0";"385.74439149174094";"0.9304000000000001";"384.8139914917409";"0";"3.887010015068199";"0";"0";"0";"3.8870100150680935";"7.105427357601008e-17";"0.06960000000000077";"3.9566100150680943";"20200101:01"
"0";"343.0730236835836";"0";"58.59697812958281";"0.9303999999999998";"57.66657812958281";"0";"284.4760455540008";"0";"0";"0";"0.5824906881776046";"0";"0.06960000000000044";"0.6520906881776051";"20200101:02"
"-2.19824158875781e-16";"332.1307321214431";"0";"0.9303999999999998";"0.9303999999999998";"0";"0";"331.20033212144307";"0";"0";"0";"0";"0";"0.06960000000000044";"0.06960000000000044";"20200101:03"
"-2.19824158875781e-16";"332.1307321214431";"0";"0.9303999999999996";"0.9303999999999998";"-2.1762591728702318e-16";"0";"331.20033212144307";"0";"0";"0";"-2.198241588757812e-18";"0";"0.06960000000000044";"0.06960000000000044";"20200101:04"
"-8.79296635503124e-16";"368.39048259206567";"0";"0.9303999999999999";"0.9304000000000001";"-2.1762591728702318e-16";"0";"367.46008259206565";"0";"0";"0";"-2.198241588757812e-18";"0";"0.06960000000000077";"0.06960000000000077";"20200101:05"
"5.495603971894525e-16";"653.5337274172581";"0";"0.9303999999999986";"0.9303999999999994";"-8.705036691480927e-16";"0";"652.6033274172581";"0";"0";"0";"-8.792966355031248e-18";"5.49560397189453e-18";"0.0696";"0.0696";"20200101:06"
"1.0991207943789052e-16";"1060.5440625815845";"0";"0.9304000000000004";"0.9303999999999999";"5.44064793217558e-16";"0";"1059.6136625815845";"0";"0";"0";"5.49560397189453e-18";"1.0991207943789062e-18";"0.0696";"0.0696";"20200101:07"
"11.804262746229735";"1154.519037174086";"275.93";"245.63164971808865";"245.63164971808865";"1.0881295864351161e-16";"0";"908.8873874559973";"0";"0";"0";"1.0991207943789062e-18";"0.11804262746229746";"18.374852558446975";"18.492895185909273";"20200101:08"
"219.75551894954486";"1082.4286457058656";"791.9000000000001";"541.944187360529";"530.2579672417615";"11.686220118767437";"0";"540.4844583453366";"0";"0";"0";"0.11804262746229746";"2.197555189495451";"39.66676109203161";"41.982358908989355";"20200101:09"
"571.3456609128273";"1004.5452763518064";"1229.12";"824.181713867833";"606.6237501077836";"217.5579637600494";"0";"180.3635624839734";"0";"0";"0";"2.197555189495451";"5.7134566091282775";"45.37942068734026";"53.29043248596398";"20200101:10"
"876.6056365275415";"1003.0433931962185";"1360.74";"999.0744889116238";"606.1529647367163";"392.9215241749075";"0";"3.9689042845947142";"0";"0";"0";"3.968904284595029";"7.021504040742174";"45.34420286508498";"56.33461119042218";"20200101:11"
"1060.7801422012462";"1093.1563825314936";"1331.46";"1088.5962653125348";"637.1446606356377";"451.451604676897";"0";"4.560117218958794";"0";"0";"0";"4.56011721895856";"6.401862275695609";"47.662584243594324";"58.6245637382485";"20200101:12"
"829.9695892439794";"1134.3508919419053";"951.37";"1128.9887874064952";"598.1404384008781";"530.848349005617";"0";"5.362104535410026";"0";"0";"0";"5.362104535410277";"3.053999005837607";"44.74481353471742";"53.16091707596531";"20200101:13"
"208.85190969788664";"1018.4913342251228";"423.77";"1011.7655490047894";"345.9128121917865";"665.8527368130029";"0";"6.725785220333478";"0";"0";"0";"6.725785220333369";"0.514608424872436";"25.87653883119981";"33.116932476405616";"20200101:14"
"0";"917.4360533277071";"0";"207.69379060090776";"0.9303999999999998";"206.76339060090777";"0";"709.7422627267994";"0";"0";"0";"2.0885190969788683";"0";"0.0696000000000001";"2.1581190969788686";"20200101:15"
"-6.594724766273429e-16";"886.9692807429234";"0";"0.9303999999999997";"0.9303999999999997";"0";"0";"886.0388807429234";"0";"0";"0";"0";"0";"0.069600000000001";"0.069600000000001";"20200101:16"
"1.0991207943789052e-16";"1034.5829394635648";"0";"0.930399999999999";"0.9303999999999997";"-6.528777518610695e-16";"0";"1033.6525394635648";"0";"0";"0";"-6.5947247662734354e-18";"1.0991207943789062e-18";"0.06960000000000022";"0.06960000000000022";"20200101:17"
"2.19824158875781e-16";"1347.61830003539";"0";"0.9303999999999999";"0.9303999999999998";"1.0881295864351161e-16";"0";"1346.68790003539";"0";"0";"0";"1.0991207943789062e-18";"2.198241588757812e-18";"0.0696";"0.0696";"20200101:18"
"0";"1589.2069333485329";"0";"0.9304000000000003";"0.9304000000000001";"2.1762591728702318e-16";"0";"1588.276533348533";"0";"0";"0";"2.198241588757812e-18";"0";"0.06959999999999988";"0.06959999999999988";"20200101:19"
"0";"1509.8216808388854";"0";"0.9303999999999994";"0.9303999999999994";"0";"0";"1508.8912808388855";"0";"0";"0";"0";"0";"0.06960000000000055";"0.06960000000000055";"20200101:20"
"2.19824158875781e-16";"1257.9344201731399";"0";"0.9303999999999999";"0.9303999999999999";"0";"0";"1257.00402017314";"0";"0";"0";"0";"2.198241588757812e-18";"0.06959999999999988";"0.06959999999999988";"20200101:21"
