"Datetime";"Power"
"20150101:00";
"20150101:01";
"20150101:02";
"20150101:03";
"20150101:04";
"20150101:05";
"20150101:06";
"20150101:07";
"20150101:08";
"20150101:09";
"20150101:10";
"20150101:11";
"20150101:12";
"20150101:13";
"20150101:14";
"20150101:15";
"20150101:16";
"20150101:17";
"20150101:18";
"20150101:19";
"20150101:20";
"20150101:21";
"20150101:22";
"20150101:23";
"20150102:00";
"20150102:01";
"20150102:02";
"20150102:03";
"20150102:04";
"20150102:05";
"20150102:06";
"20150102:07";
"20150102:08";
"20150102:09";
"20150102:10";
"20150102:11";
"20150102:12";
"20150102:13";
"20150102:14";
"20150102:15";
"20150102:16";
"20150102:17";
"20150102:18";
"20150102:19";
"20150102:20";
"20150102:21";
"20150102:22";
"20150102:23";
"20150103:00";
"20150103:01";
"20150103:02";
"20150103:03";
"20150103:04";
"20150103:05";
"20150103:06";
"20150103:07";
"20150103:08";
"20150103:09";
"20150103:10";
"20150103:11";
"20150103:12";
"20150103:13";
"20150103:14";
"20150103:15";
"20150103:16";
"20150103:17";
"20150103:18";
"20150103:19";
"20150103:20";
"20150103:21";
"20150103:22";
"20150103:23";
"20150104:00";
"20150104:01";
"20150104:02";
"20150104:03";
"20150104:04";
"20150104:05";
"20150104:06";
"20150104:07";
"20150104:08";
"20150104:09";
"20150104:10";
"20150104:11";
"20150104:12";
"20150104:13";
"20150104:14";
"20150104:15";
"20150104:16";
"20150104:17";
"20150104:18";
"20150104:19";
"20150104:20";
"20150104:21";
"20150104:22";
"20150104:23";
"20150105:00";
"20150105:01";
"20150105:02";
"20150105:03";
"20150105:04";
"20150105:05";
"20150105:06";
"20150105:07";
"20150105:08";
"20150105:09";
"20150105:10";
"20150105:11";
"20150105:12";
"20150105:13";
"20150105:14";
"20150105:15";
"20150105:16";
"20150105:17";
"20150105:18";
"20150105:19";
"20150105:20";
"20150105:21";
"20150105:22";
"20150105:23";
"20150106:00";
"20150106:01";
"20150106:02";
"20150106:03";
"20150106:04";
"20150106:05";
"20150106:06";
"20150106:07";
"20150106:08";
"20150106:09";
"20150106:10";
"20150106:11";
"20150106:12";
"20150106:13";
"20150106:14";
"20150106:15";
"20150106:16";
"20150106:17";
"20150106:18";
"20150106:19";
"20150106:20";
"20150106:21";
"20150106:22";
"20150106:23";
"20150107:00";
"20150107:01";
"20150107:02";
"20150107:03";
"20150107:04";
"20150107:05";
"20150107:06";
"20150107:07";
"20150107:08";
"20150107:09";
"20150107:10";
"20150107:11";
"20150107:12";
"20150107:13";
"20150107:14";
"20150107:15";
"20150107:16";
"20150107:17";
"20150107:18";
"20150107:19";
"20150107:20";
"20150107:21";
"20150107:22";
"20150107:23";
"20150108:00";
"20150108:01";
"20150108:02";
"20150108:03";
"20150108:04";
"20150108:05";
"20150108:06";
"20150108:07";
"20150108:08";
"20150108:09";
"20150108:10";
"20150108:11";
"20150108:12";
"20150108:13";
"20150108:14";
"20150108:15";
"20150108:16";
"20150108:17";
"20150108:18";
"20150108:19";
"20150108:20";
"20150108:21";
"20150108:22";
"20150108:23";
"20150109:00";
"20150109:01";
"20150109:02";
"20150109:03";
"20150109:04";
"20150109:05";
"20150109:06";
"20150109:07";
"20150109:08";
"20150109:09";
"20150109:10";
"20150109:11";
"20150109:12";
"20150109:13";
"20150109:14";
"20150109:15";
"20150109:16";
"20150109:17";
"20150109:18";
"20150109:19";
"20150109:20";
"20150109:21";
"20150109:22";
"20150109:23";
"20150110:00";
"20150110:01";
"20150110:02";
"20150110:03";
"20150110:04";
"20150110:05";
"20150110:06";
"20150110:07";
"20150110:08";
"20150110:09";
"20150110:10";
"20150110:11";
"20150110:12";
"20150110:13";
"20150110:14";
"20150110:15";
"20150110:16";
"20150110:17";
"20150110:18";
"20150110:19";
"20150110:20";
"20150110:21";
"20150110:22";
"20150110:23";
"20150111:00";
"20150111:01";
"20150111:02";
"20150111:03";
"20150111:04";
"20150111:05";
"20150111:06";
"20150111:07";
"20150111:08";
"20150111:09";
"20150111:10";
"20150111:11";
"20150111:12";
"20150111:13";
"20150111:14";
"20150111:15";
"20150111:16";
"20150111:17";
"20150111:18";
"20150111:19";
"20150111:20";
"20150111:21";
"20150111:22";
"20150111:23";
"20150112:00";
"20150112:01";
"20150112:02";
"20150112:03";
"20150112:04";
"20150112:05";
"20150112:06";
"20150112:07";
"20150112:08";
"20150112:09";
"20150112:10";
"20150112:11";
"20150112:12";
"20150112:13";
"20150112:14";
"20150112:15";
"20150112:16";
"20150112:17";
"20150112:18";
"20150112:19";
"20150112:20";
"20150112:21";
"20150112:22";
"20150112:23";
"20150113:00";
"20150113:01";
"20150113:02";
"20150113:03";
"20150113:04";
"20150113:05";
"20150113:06";
"20150113:07";
"20150113:08";
"20150113:09";
"20150113:10";
"20150113:11";
"20150113:12";
"20150113:13";
"20150113:14";
"20150113:15";
"20150113:16";
"20150113:17";
"20150113:18";
"20150113:19";
"20150113:20";
"20150113:21";
"20150113:22";
"20150113:23";
"20150114:00";
"20150114:01";
"20150114:02";
"20150114:03";
"20150114:04";
"20150114:05";
"20150114:06";
"20150114:07";
"20150114:08";
"20150114:09";
"20150114:10";
"20150114:11";
"20150114:12";
"20150114:13";
"20150114:14";
"20150114:15";
"20150114:16";
"20150114:17";
"20150114:18";
"20150114:19";
"20150114:20";
"20150114:21";
"20150114:22";
"20150114:23";
"20150115:00";
"20150115:01";
"20150115:02";
"20150115:03";
"20150115:04";
"20150115:05";
"20150115:06";
"20150115:07";
"20150115:08";
"20150115:09";
"20150115:10";
"20150115:11";
"20150115:12";
"20150115:13";
"20150115:14";
"20150115:15";
"20150115:16";
"20150115:17";
"20150115:18";
"20150115:19";
"20150115:20";
"20150115:21";
"20150115:22";
"20150115:23";
"20150116:00";
"20150116:01";
"20150116:02";
"20150116:03";
"20150116:04";
"20150116:05";
"20150116:06";
"20150116:07";
"20150116:08";
"20150116:09";
"20150116:10";
"20150116:11";
"20150116:12";
