"newBatterySoc";"energyConsumption";"powerProduction";"selfUsedEnergy";"selfUsedEnergyPV";"selfUsedEnergyBattery";"feedInEnergyGrid";"gridUsedEnergy";"missedInverterPower";"missedBatteryPower";"missedFeedInPowerGrid";"lossesUnloadBattery";"lossesLoadBattery";"lossesPvGeneration";"losses";"dayTime"
"0";"1099";"0";"990.8667";"0.8667000000000004";"990";"0";"108.13329999999996";"0";"0";"0";"10.000000000000009";"8.88178419700126e-17";"0.13329999999999953";"10.133300000000009";"20200101:00"
"1.099120794378905e-16";"1099";"0";"0.8667000000000004";"0.8667000000000004";"0";"0";"1098.1333";"0";"0";"0";"0";"1.099120794378906e-18";"0.13329999999999953";"0.13329999999999953";"20200101:01"
"1.099120794378905e-16";"1099";"0";"0.8667000000000005";"0.8667000000000004";"1.0881295864351159e-16";"0";"1098.1333";"0";"0";"0";"1.099120794378906e-18";"1.099120794378906e-18";"0.13329999999999953";"0.13329999999999953";"20200101:02"
"1.099120794378905e-16";"1099";"0";"0.8667000000000005";"0.8667000000000004";"1.0881295864351159e-16";"0";"1098.1333";"0";"0";"0";"1.099120794378906e-18";"1.099120794378906e-18";"0.13329999999999953";"0.13329999999999953";"20200101:03"
"1.099120794378905e-16";"1099";"0";"0.8667000000000005";"0.8667000000000004";"1.0881295864351159e-16";"0";"1098.1333";"0";"0";"0";"1.099120794378906e-18";"1.099120794378906e-18";"0.13329999999999953";"0.13329999999999953";"20200101:04"
"1.099120794378905e-16";"1099";"0";"0.8667000000000005";"0.8667000000000004";"1.0881295864351159e-16";"0";"1098.1333";"0";"0";"0";"1.099120794378906e-18";"1.099120794378906e-18";"0.13329999999999953";"0.13329999999999953";"20200101:05"
"1.099120794378905e-16";"1099";"0";"0.8667000000000005";"0.8667000000000004";"1.0881295864351159e-16";"0";"1098.1333";"0";"0";"0";"1.099120794378906e-18";"1.099120794378906e-18";"0.13329999999999953";"0.13329999999999953";"20200101:06"
"1.099120794378905e-16";"1099";"0";"0.8667000000000005";"0.8667000000000004";"1.0881295864351159e-16";"0";"1098.1333";"0";"0";"0";"1.099120794378906e-18";"1.099120794378906e-18";"0.13329999999999953";"0.13329999999999953";"20200101:07"
"14.479835337282585";"1200";"275.89";"226.43742533654262";"226.43742533654262";"1.0881295864351159e-16";"0";"973.5625746634573";"0";"0";"0";"1.099120794378906e-18";"0.14479835337282598";"34.82647836317193";"34.97127671654476";"20200101:08"
"207.20852019467415";"1200";"791.9";"544.6744191725847";"530.339382188675";"14.33503698390976";"0";"655.3255808274153";"0";"0";"0";"0.14479835337282598";"2.0720852019467433";"52.25908226114905";"54.475965816468616";"20200101:09"
"468.7232260867374";"1200";"1229.16";"900.9114467320612";"695.7750117393339";"205.1364349927274";"0";"299.0885532679388";"0";"0";"0";"2.0720852019467433";"4.687232260867378";"59.92718413264868";"66.6865015954628";"20200101:10"
"598.9874260867373";"1200";"1360.74";"1159.811005565204";"695.7750117393339";"464.03599382587";"0";"40.188994434796086";"0";"0";"0";"4.687232260867378";"5.989874260867378";"59.92718413264868";"70.60429065438343";"20200101:11"
"298.1727755641491";"1909";"1331.54";"1541.6457485512115";"948.6481967253414";"592.9975518258699";"0";"367.35425144878855";"0";"0";"0";"5.989874260867378";"2.9817277556414936";"81.70718149268964";"90.67878350919851";"20200101:12"
"240.12670564969233";"1302";"951.37";"940.4278657247559";"645.2368179162482";"295.1910478085076";"0";"361.57213427524414";"0";"0";"0";"2.9817277556414936";"2.401267056496925";"63.58095415476964";"68.96394896690806";"20200101:13"
"49.64129090899945";"1200";"423.77";"561.5482038246805";"323.8227652314851";"237.7254385931954";"0";"638.4517961753195";"0";"0";"0";"2.401267056496925";"0.496412909089995";"49.80451667861644";"52.702196644203354";"20200101:14"
"0";"1200";"0";"50.011577999909456";"0.8666999999999999";"49.144877999909454";"0";"1149.9884220000906";"0";"0";"0";"0.49641290908999497";"0";"0.13329999999999997";"0.6297129090899949";"20200101:15"
"1.099120794378905e-16";"1200";"0";"0.8666999999999999";"0.8666999999999999";"0";"0";"1199.1333";"0";"0";"0";"0";"1.099120794378906e-18";"0.13329999999999997";"0.13329999999999997";"20200101:16"
"1.099120794378905e-16";"1200";"0";"0.8667";"0.8666999999999999";"1.0881295864351159e-16";"0";"1199.1333";"0";"0";"0";"1.099120794378906e-18";"1.099120794378906e-18";"0.13329999999999997";"0.13329999999999997";"20200101:17"
"4.39648317751562e-16";"1707";"0";"0.8667000000000004";"0.8667000000000002";"1.0881295864351159e-16";"0";"1706.1333";"0";"0";"0";"1.099120794378906e-18";"4.396483177515624e-18";"0.1332999999999993";"0.1332999999999993";"20200101:18"
"0";"1504";"0";"0.8667000000000002";"0.8666999999999998";"4.3525183457404636e-16";"0";"1503.1333";"0";"0";"0";"4.396483177515624e-18";"0";"0.1333000000000002";"0.1333000000000002";"20200101:19"
"0";"1504";"0";"0.8666999999999998";"0.8666999999999998";"0";"0";"1503.1333";"0";"0";"0";"0";"0";"0.1333000000000002";"0.1333000000000002";"20200101:20"
"0";"1504";"0";"0.8666999999999998";"0.8666999999999998";"0";"0";"1503.1333";"0";"0";"0";"0";"0";"0.1333000000000002";"0.1333000000000002";"20200101:21"
"0";"1504";"0";"0.8666999999999998";"0.8666999999999998";"0";"0";"1503.1333";"0";"0";"0";"0";"0";"0.1333000000000002";"0.1333000000000002";"20200101:22"
"0";"1504";"0";"0.8666999999999998";"0.8666999999999998";"0";"0";"1503.1333";"0";"0";"0";"0";"0";"0.1333000000000002";"0.1333000000000002";"20200101:23"
